content,day,person
Xd esperemos dorime,26/2/20,Paco
<Multimedia omitido>,26/2/20,Paco
Quedo muy ortopédico el piso,26/2/20,Paco
Y si,26/2/20,Paco
We,26/2/20,Paco
Ya ocupas wifi,26/2/20,Paco
A ver si mañana ya te veo en el camión pai,26/2/20,Paco
Jaja xd mejor que el colchón?,26/2/20,Paco
Jaja xd bueno ya aunque sea estas en tu depa,26/2/20,Paco
Xd,27/2/20,Paco
No lo vi,27/2/20,Paco
Alas 3,27/2/20,Paco
Oye pa,27/2/20,Paco
A donde fuiste?,27/2/20,Paco
A xd,27/2/20,Paco
No vas a entrar,27/2/20,Paco
Jsjs weno,27/2/20,Paco
Si me ayudas con la publicación,27/2/20,Paco
Xd,27/2/20,Paco
Va,27/2/20,Paco
Hola!,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
Esime pa,27/2/20,Paco
<Multimedia omitido>,27/2/20,Paco
Pero ahí venden pa,27/2/20,Paco
Xd,27/2/20,Paco
Creo que fue porque lo publique el sábado,27/2/20,Paco
A ver deja checo,27/2/20,Paco
Ya andamos en casita,27/2/20,Paco
Jaja xd,27/2/20,Paco
Xd,27/2/20,Paco
Aprovechas el tiempo,27/2/20,Paco
Nice,27/2/20,Paco
Yeiii jaja,27/2/20,Paco
Y que tal,27/2/20,Paco
Como estuvo la cosa,27/2/20,Paco
Por?,27/2/20,Paco
Esta bueno,27/2/20,Paco
Ontan,28/2/20,Paco
Y eso,28/2/20,Paco
No vendras,28/2/20,Paco
Jaja vale,28/2/20,Paco
Xd,28/2/20,Paco
Vienes tarde pa,28/2/20,Paco
Si,28/2/20,Paco
Llegas,28/2/20,Paco
Cada vez vienes más tarde,28/2/20,Paco
Hay weno esta bien,28/2/20,Paco
Vñy,28/2/20,Paco
Pa tu salon,28/2/20,Paco
En mi casita estoy malito,29/2/20,Paco
Engeneral si traía infección y me volvió a salir sangre no me podía ni levantar,29/2/20,Paco
Si me dio una fuerte infección estomacal y pues ya me dio medicamento y ya estoy mejor,29/2/20,Paco
Depende de como me sienta pero espero que si,29/2/20,Paco
Gracias guapo,29/2/20,Paco
Osea va ser una madrina  a ver pasa rol,1/3/202,Paco
Osea de lo que vas a trabajar,1/3/202,Paco
Vale,1/3/202,Paco
Va deja la checo,1/3/202,Paco
Ya mejor gracias guapo,1/3/202,Paco
Pues no se ve pesado el rol,1/3/202,Paco
Osea en si se tratara de hacer reportes y dashboard,1/3/202,Paco
Si tablas dinámicas y macros,1/3/202,Paco
Y de seguro si sacas power bi te reciben mejor,1/3/202,Paco
We con un video de 20 min,1/3/202,Paco
Si se aprende rapido,1/3/202,Paco
Hasta power bi en 1 día se aprende,1/3/202,Paco
Pues lo más pesado sería el traslado fuera de eso si esta bien,1/3/202,Paco
El pedo seria con tus horas de clase que chochas,1/3/202,Paco
Como 6 más o menos,1/3/202,Paco
Si,1/3/202,Paco
No se su funcione pero si,1/3/202,Paco
Más o menos,1/3/202,Paco
Eso si pero no se que le pueda decir moso sabes jaja,1/3/202,Paco
Siento que es hasta más factible que lo hables con los del trabajo,1/3/202,Paco
Que te dejen salir 30 minutos antes,1/3/202,Paco
O 40,1/3/202,Paco
Sería pedir para ese dia,1/3/202,Paco
Y compensar otro,1/3/202,Paco
Ahí esta pa puedes negociar,1/3/202,Paco
Dale tu puedes,1/3/202,Paco
Donde vienes pa,1/3/202,Paco
A,1/3/202,Paco
Xd,1/3/202,Paco
Si,1/3/202,Paco
Pa,1/3/202,Paco
Apura aún no pasa lista pero ya casi acabamos,1/3/202,Paco
Solo falta un ejercicio y medio,1/3/202,Paco
Con nahum,1/3/202,Paco
Si,1/3/202,Paco
No,1/3/202,Paco
Es nahum,1/3/202,Paco
Si0,1/3/202,Paco
